itemDescription,Member_number,Date
carrots,59,2026-08-14
flour,26,2030-03-01
chicken,43,2024-12-21
milk,24,2034-12-12
vinegar,85,2029-06-20
rice,91,2031-05-14
rice,14,2024-02-02
carrots,73,2028-01-17
cereal,12,2029-03-26
cereal,48,2025-03-25
butter,25,2030-04-10
rice,91,2032-07-15
butter,68,2029-11-23
cereal,26,2034-09-10
soda,45,2028-03-17
juice,73,2029-07-14
potato chips,2,2035-12-21
beef,37,2024-03-12
rice,88,2028-08-06
potato chips,86,2025-07-27
juice,63,2030-11-11
chocolate,24,2026-08-31
juice,82,2027-10-19
ice cream,90,2033-03-29
chicken,71,2035-08-14
soda,75,2036-07-19
potato chips,18,2028-07-08
juice,25,2034-12-22
olive oil,13,2031-09-05
eggs,36,2029-03-17
salmon,68,2030-03-10
potato chips,81,2025-10-17
yogurt,81,2031-10-10
yogurt,53,2033-07-16
beef,31,2035-07-21
sugar,88,2028-06-24
yogurt,38,2026-08-16
bread,83,2028-06-25
cereal,71,2030-10-22
soda,26,2036-09-03
ice cream,85,2030-10-12
yogurt,75,2028-07-11
salmon,32,2023-01-04
eggs,8,2033-09-09
olive oil,88,2029-11-26
eggs,72,2026-07-17
rice,4,2026-10-06
chicken,26,2033-10-21
chocolate,42,2035-10-10
olive oil,67,2026-01-16
juice,34,2028-09-06
apples,86,2036-06-19
beef,57,2031-12-27
chicken,33,2025-10-23
salmon,18,2032-04-13
bread,2,2029-05-28
apples,42,2028-08-11
eggs,17,2033-02-25
vinegar,63,2028-06-04
rice,48,2030-05-27
juice,34,2024-05-19
eggs,17,2024-11-03
juice,48,2030-03-12
chicken,18,2024-11-18
chocolate,16,2028-08-05
potato chips,79,2032-12-17
onions,97,2025-01-25
butter,8,2035-07-19
potato chips,84,2028-12-13
beef,40,2025-08-08
cereal,78,2032-08-08
chicken,38,2036-08-02
butter,44,2033-06-02
beef,31,2034-10-01
cereal,30,2034-04-08
vinegar,76,2029-01-23
vinegar,1,2024-08-10
salmon,87,2035-08-23
yogurt,14,2032-01-10
butter,6,2024-01-13
olive oil,16,2023-09-13
beef,72,2032-07-05
juice,36,2029-12-05
beef,20,2032-06-18
butter,56,2032-08-24
eggs,10,2028-03-10
eggs,48,2030-03-12
cheese,68,2024-12-04
rice,42,2024-11-19
beef,84,2024-01-26
sugar,18,2024-08-30
juice,69,2025-09-05
flour,73,2034-11-10
flour,47,2033-12-16
chocolate,87,2025-11-02
potato chips,15,2035-10-23
chicken,43,2026-08-02
beef,96,2028-03-08
ice cream,20,2029-05-23
olive oil,48,2025-03-25
salmon,96,2023-07-17
onions,19,2024-11-07
bread,63,2033-01-30
milk,75,2026-06-28
chicken,65,2027-10-09
eggs,51,2035-04-18
milk,22,2023-04-14
salmon,36,2034-06-25
olive oil,74,2032-05-14
rice,19,2025-11-19
salmon,75,2033-03-08
bread,9,2028-05-31
flour,59,2026-11-26
milk,67,2032-10-16
pasta,6,2034-06-19
butter,48,2033-10-09
vinegar,61,2025-06-07
rice,51,2024-09-11
juice,79,2033-01-05
yogurt,20,2024-06-22
vinegar,59,2024-10-29
potato chips,33,2032-07-22
cereal,31,2026-10-01
sugar,70,2029-11-13
rice,53,2027-11-16
chicken,71,2035-02-05
eggs,24,2034-11-18
yogurt,54,2025-11-11
pasta,9,2032-10-12
vinegar,31,2029-06-19
soda,1,2028-12-30
soda,64,2023-06-21
juice,56,2029-01-16
pasta,20,2036-04-15
yogurt,81,2023-12-15
cereal,59,2027-11-07
vinegar,79,2030-04-06
eggs,46,2027-11-25
chicken,38,2024-07-05
potato chips,59,2031-03-12
eggs,39,2029-04-18
beef,8,2030-10-05
potato chips,4,2027-08-03
vinegar,70,2034-07-26
vinegar,26,2030-08-04
soda,92,2032-04-02
beef,76,2023-04-19
chicken,11,2030-06-19
potatoes,99,2025-05-31
potato chips,49,2031-01-06
juice,20,2032-05-25
rice,84,2026-10-02
juice,55,2033-01-04
juice,15,2031-03-23
ice cream,20,2035-06-01
chicken,2,2026-10-09
olive oil,83,2033-08-27
carrots,20,2030-09-18
cereal,77,2027-09-09
flour,7,2027-12-20
rice,92,2031-02-16
potato chips,39,2023-12-22
beef,63,2033-01-30
eggs,89,2030-01-02
cereal,98,2023-09-21
chicken,11,2032-08-05
vinegar,20,2023-08-01
sugar,97,2032-11-30
milk,20,2030-05-31
vinegar,28,2027-04-12
vinegar,59,2032-09-17
salmon,82,2027-05-18
juice,69,2025-09-04
juice,52,2034-03-15
eggs,57,2030-05-07
chicken,59,2034-07-13
butter,20,2029-04-26
cheese,85,2029-09-14
olive oil,37,2035-08-17
pasta,64,2032-03-22
cereal,81,2025-10-17
ice cream,93,2032-10-02
potato chips,4,2031-11-13
potato chips,62,2027-04-07
pasta,13,2031-03-15
juice,66,2029-09-03
vinegar,37,2030-10-15
potato chips,94,2023-10-25
butter,30,2024-04-22
chicken,32,2025-03-26
onions,27,2023-08-16
beef,32,2023-03-17
juice,13,2027-09-20
flour,89,2035-06-07
beef,51,2035-04-18
eggs,5,2032-07-28
potato chips,38,2036-08-02
