itemDescription,Member_number,Date
apples,66,2023-01-01
bananas,92,2023-01-02
apples,21,2023-01-03
pasta,32,2023-01-04
ice cream,30,2023-01-05
potatoes,12,2023-01-06
cookies,7,2023-01-07
chocolate,35,2023-01-08
cookies,50,2023-01-09
eggs,84,2023-01-10
juice,35,2023-01-11
carrots,36,2023-01-12
ice cream,94,2023-01-13
ice cream,8,2023-01-14
juice,29,2023-01-15
yogurt,25,2023-01-16
ice cream,67,2023-01-17
chocolate,5,2023-01-18
bread,1,2023-01-19
bananas,62,2023-01-20
potatoes,44,2023-01-21
eggs,24,2023-01-22
onions,46,2023-01-23
soda,63,2023-01-24
cookies,72,2023-01-25
cheese,26,2023-01-26
pasta,39,2023-01-27
carrots,13,2023-01-28
chocolate,26,2023-01-29
carrots,47,2023-01-30
soda,21,2023-01-31
cereal,67,2023-02-01
cheese,27,2023-02-02
pasta,37,2023-02-03
bread,60,2023-02-04
bananas,70,2023-02-05
onions,3,2023-02-06
pasta,44,2023-02-07
chocolate,15,2023-02-08
potatoes,16,2023-02-09
bananas,42,2023-02-10
pasta,10,2023-02-11
cheese,1,2023-02-12
soda,12,2023-02-13
bananas,70,2023-02-14
cereal,89,2023-02-15
bananas,15,2023-02-16
carrots,88,2023-02-17
onions,10,2023-02-18
cereal,59,2023-02-19
rice,2,2023-02-20
potatoes,76,2023-02-21
milk,98,2023-02-22
rice,97,2023-02-23
cookies,23,2023-02-24
cereal,82,2023-02-25
yogurt,33,2023-02-26
rice,86,2023-02-27
chocolate,33,2023-02-28
rice,89,2023-03-01
onions,75,2023-03-02
chocolate,31,2023-03-03
soda,97,2023-03-04
pasta,61,2023-03-05
cereal,19,2023-03-06
yogurt,99,2023-03-07
ice cream,42,2023-03-08
soda,45,2023-03-09
rice,5,2023-03-10
cereal,60,2023-03-11
juice,25,2023-03-12
milk,72,2023-03-13
apples,22,2023-03-14
soda,14,2023-03-15
rice,97,2023-03-16
milk,32,2023-03-17
ice cream,3,2023-03-18
cereal,4,2023-03-19
tomatoes,64,2023-03-20
milk,34,2023-03-21
ice cream,12,2023-03-22
cookies,99,2023-03-23
bread,50,2023-03-24
onions,73,2023-03-25
apples,3,2023-03-26
soda,95,2023-03-27
chicken,15,2023-03-28
eggs,67,2023-03-29
juice,57,2023-03-30
pasta,92,2023-03-31
onions,96,2023-04-01
eggs,50,2023-04-02
carrots,19,2023-04-03
chocolate,33,2023-04-04
potatoes,49,2023-04-05
cheese,58,2023-04-06
chicken,64,2023-04-07
ice cream,37,2023-04-08
ice cream,96,2023-04-09
chocolate,93,2023-04-10
pasta,60,2023-04-11
ice cream,7,2023-04-12
eggs,77,2023-04-13
ice cream,22,2023-04-14
carrots,26,2023-04-15
ice cream,70,2023-04-16
carrots,55,2023-04-17
chicken,57,2023-04-18
juice,76,2023-04-19
bananas,42,2023-04-20
rice,89,2023-04-21
cereal,37,2023-04-22
tomatoes,85,2023-04-23
chicken,44,2023-04-24
soda,8,2023-04-25
cookies,72,2023-04-26
chicken,14,2023-04-27
juice,45,2023-04-28
bread,2,2023-04-29
chocolate,90,2023-04-30
milk,31,2023-05-01
carrots,30,2023-05-02
carrots,78,2023-05-03
bread,18,2023-05-04
apples,48,2023-05-05
pasta,9,2023-05-06
soda,7,2023-05-07
juice,64,2023-05-08
cheese,95,2023-05-09
bread,77,2023-05-10
carrots,47,2023-05-11
cheese,4,2023-05-12
cookies,51,2023-05-13
bananas,20,2023-05-14
soda,56,2023-05-15
cereal,80,2023-05-16
eggs,47,2023-05-17
cereal,45,2023-05-18
chocolate,47,2023-05-19
pasta,44,2023-05-20
bread,28,2023-05-21
yogurt,40,2023-05-22
tomatoes,60,2023-05-23
carrots,5,2023-05-24
bread,74,2023-05-25
juice,81,2023-05-26
yogurt,91,2023-05-27
juice,6,2023-05-28
bananas,99,2023-05-29
eggs,45,2023-05-30
cereal,5,2023-05-31
soda,62,2023-06-01
cookies,24,2023-06-02
cereal,35,2023-06-03
juice,68,2023-06-04
chocolate,53,2023-06-05
bread,87,2023-06-06
chicken,32,2023-06-07
apples,17,2023-06-08
eggs,29,2023-06-09
tomatoes,67,2023-06-10
chicken,6,2023-06-11
chicken,97,2023-06-12
cheese,25,2023-06-13
carrots,78,2023-06-14
juice,61,2023-06-15
apples,9,2023-06-16
milk,8,2023-06-17
cereal,90,2023-06-18
carrots,66,2023-06-19
chicken,2,2023-06-20
milk,64,2023-06-21
tomatoes,30,2023-06-22
pasta,37,2023-06-23
tomatoes,18,2023-06-24
bananas,44,2023-06-25
cheese,85,2023-06-26
cheese,2,2023-06-27
cereal,3,2023-06-28
soda,23,2023-06-29
cheese,84,2023-06-30
yogurt,79,2023-07-01
pasta,28,2023-07-02
carrots,92,2023-07-03
carrots,25,2023-07-04
cereal,76,2023-07-05
apples,76,2023-07-06
chocolate,8,2023-07-07
pasta,83,2023-07-08
potatoes,45,2023-07-09
rice,24,2023-07-10
cheese,64,2023-07-11
yogurt,61,2023-07-12
bananas,45,2023-07-13
ice cream,38,2023-07-14
milk,43,2023-07-15
cereal,31,2023-07-16
eggs,96,2023-07-17
yogurt,31,2023-07-18
apples,57,2023-07-19
juice,27,2023-07-20
soda,51,2023-07-21
chocolate,83,2023-07-22
onions,50,2023-07-23
milk,94,2023-07-24
yogurt,40,2023-07-25
rice,36,2023-07-26
apples,62,2023-07-27
tomatoes,14,2023-07-28
chocolate,47,2023-07-29
apples,83,2023-07-30
bananas,45,2023-07-31
cheese,20,2023-08-01
chicken,89,2023-08-02
cheese,45,2023-08-03
carrots,86,2023-08-04
juice,83,2023-08-05
milk,73,2023-08-06
